,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-07-26,171.9010341,157.2106247,181.6639,171.9010341,171.9010341,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,169.3598188
1,2021-07-27,171.9126213,157.9002405,182.095108,171.9126213,171.9126213,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,169.5183685
2,2021-07-28,171.9242085,157.3815533,182.0087344,171.9242085,171.9242085,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,169.6386484
3,2021-07-29,171.9357957,156.7185609,182.0715291,171.9357957,171.9357957,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,169.411181
4,2021-07-30,171.9473829,157.1555148,182.0113511,171.9473829,171.9473829,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,168.8549221
5,2021-08-02,171.9821445,157.8030232,182.7535457,171.9821445,171.9821445,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,169.4409292
6,2021-08-03,171.9937317,157.4138199,181.9346168,171.9937317,171.9937317,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,169.5994789
7,2021-08-04,172.0053189,157.3647247,182.1048425,172.0053189,172.0053189,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,169.7197588
8,2021-08-05,172.0169061,156.9249482,181.791214,172.0169061,172.0169061,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,169.4922914
9,2021-08-06,172.0284933,156.5506352,180.9688854,172.0284933,172.0284933,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,168.9360325
10,2021-08-09,172.0632549,157.4211479,181.8085854,172.0632549,172.0632549,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,169.5220396
11,2021-08-10,172.0748421,157.4382583,182.7373733,172.0748421,172.0748421,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,169.6805893
12,2021-08-11,172.0864293,157.3602597,182.3084291,172.0864293,172.0864293,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,169.8008692
13,2021-08-12,172.0980165,157.3863398,181.8664106,172.0980165,172.0980165,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,169.5734018
