,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-07-26,171.90103405227998,157.21062465548218,181.6638999688627,171.90103405227998,171.90103405227998,-2.5412152993377357,-2.5412152993377357,-2.5412152993377357,-2.5412152993377357,-2.5412152993377357,-2.5412152993377357,0.0,0.0,0.0,169.35981875294226
1,2021-07-27,171.91262125290592,157.90024047599047,182.09510799518358,171.91262125290592,171.91262125290592,-2.394252797674747,-2.394252797674747,-2.394252797674747,-2.394252797674747,-2.394252797674747,-2.394252797674747,0.0,0.0,0.0,169.51836845523118
2,2021-07-28,171.92420845353186,157.38155332308796,182.00873443629862,171.92420845353186,171.92420845353186,-2.285560092191794,-2.285560092191794,-2.285560092191794,-2.285560092191794,-2.285560092191794,-2.285560092191794,0.0,0.0,0.0,169.63864836134007
3,2021-07-29,171.9357956541578,156.7185609382416,182.07152908381482,171.9357956541578,171.9357956541578,-2.5246146839855412,-2.5246146839855412,-2.5246146839855412,-2.5246146839855412,-2.5246146839855412,-2.5246146839855412,0.0,0.0,0.0,169.41118097017227
4,2021-07-30,171.94738285478374,157.15551482546368,182.01135114033497,171.94738285478374,171.94738285478374,-3.092460750382991,-3.092460750382991,-3.092460750382991,-3.092460750382991,-3.092460750382991,-3.092460750382991,0.0,0.0,0.0,168.85492210440074
5,2021-08-02,171.9821444566616,157.80302324607504,182.7535457440693,171.9821444566616,171.9821444566616,-2.541215299344251,-2.541215299344251,-2.541215299344251,-2.541215299344251,-2.541215299344251,-2.541215299344251,0.0,0.0,0.0,169.44092915731733
6,2021-08-03,171.9937316572875,157.41381993783045,181.93461676647695,171.9937316572875,171.9937316572875,-2.3942527976762524,-2.3942527976762524,-2.3942527976762524,-2.3942527976762524,-2.3942527976762524,-2.3942527976762524,0.0,0.0,0.0,169.59947885961125
7,2021-08-04,172.00531885791344,157.36472469747048,182.10484250118947,172.00531885791344,172.00531885791344,-2.2855600921920494,-2.2855600921920494,-2.2855600921920494,-2.2855600921920494,-2.2855600921920494,-2.2855600921920494,0.0,0.0,0.0,169.7197587657214
8,2021-08-05,172.01690605853938,156.92494818669732,181.79121404908517,172.01690605853938,172.01690605853938,-2.524614683985289,-2.524614683985289,-2.524614683985289,-2.524614683985289,-2.524614683985289,-2.524614683985289,0.0,0.0,0.0,169.4922913745541
9,2021-08-06,172.02849326103606,156.55063519873343,180.96888540611724,172.02849326103606,172.02849326103606,-3.092460750376721,-3.092460750376721,-3.092460750376721,-3.092460750376721,-3.092460750376721,-3.092460750376721,0.0,0.0,0.0,168.93603251065935
10,2021-08-09,172.06325486852614,157.42114786668756,181.8085854230238,172.06325486852614,172.06325486852614,-2.5412152993434147,-2.5412152993434147,-2.5412152993434147,-2.5412152993434147,-2.5412152993434147,-2.5412152993434147,0.0,0.0,0.0,169.52203956918274
11,2021-08-10,172.0748420710228,157.43825830981203,182.7373733168486,172.0748420710228,172.0748420710228,-2.394252797684146,-2.394252797684146,-2.394252797684146,-2.394252797684146,-2.394252797684146,-2.394252797684146,0.0,0.0,0.0,169.68058927333865
12,2021-08-11,172.0864292735195,157.36025967130846,182.30842913606347,172.0864292735195,172.0864292735195,-2.285560092191527,-2.285560092191527,-2.285560092191527,-2.285560092191527,-2.285560092191527,-2.285560092191527,0.0,0.0,0.0,169.80086918132798
13,2021-08-12,172.0980164760162,157.38633981020436,181.8664106148265,172.0980164760162,172.0980164760162,-2.5246146839881445,-2.5246146839881445,-2.5246146839881445,-2.5246146839881445,-2.5246146839881445,-2.5246146839881445,0.0,0.0,0.0,169.57340179202805
14,2021-08-13,172.10960367851288,157.08235662344953,181.42920224088442,172.10960367851288,172.10960367851288,-3.092460750370451,-3.092460750370451,-3.092460750370451,-3.092460750370451,-3.092460750370451,-3.092460750370451,0.0,0.0,0.0,169.01714292814242
15,2021-08-16,172.14436528600294,157.99856543655102,182.55947625223067,172.14436528600294,172.14436528600294,-2.54121529934258,-2.54121529934258,-2.54121529934258,-2.54121529934258,-2.54121529934258,-2.54121529934258,0.0,0.0,0.0,169.60314998666036
16,2021-08-17,172.15595248849965,157.4173208039013,182.42699102826745,172.15595248849965,172.15595248849965,-2.3942527976811396,-2.3942527976811396,-2.3942527976811396,-2.3942527976811396,-2.3942527976811396,-2.3942527976811396,0.0,0.0,0.0,169.76169969081852
17,2021-08-18,172.16753969054346,156.99849662761943,181.13142179469295,172.16753969054346,172.16753969054346,-2.285560092192907,-2.285560092192907,-2.285560092192907,-2.285560092192907,-2.285560092192907,-2.285560092192907,0.0,0.0,0.0,169.88197959835057
18,2021-08-19,172.1791268925873,157.43472352218254,181.71431992419144,172.1791268925873,172.1791268925873,-2.5246146839909995,-2.5246146839909995,-2.5246146839909995,-2.5246146839909995,-2.5246146839909995,-2.5246146839909995,0.0,0.0,0.0,169.65451220859632
